"","Gender","SchoolYear","Age","Race","UrbanRural","School","Goals","Grades","Sports","Looks","Money"
"106","girl",6,11,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"107","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,2,1
"108","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,2,3,4
"109","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"110","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"111","girl",6,12,"White","Suburban","Brentwood_Middle","Popular",2,3,1,4
"112","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",2,1,3,4
"113","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",2,3,1,4
"114","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"115","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"116","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"117","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,4,1,2
"118","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"119","girl",6,12,"White","Suburban","Brentwood_Middle","Sports",4,3,2,1
"120","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,3,2,4
"121","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"122","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"123","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"124","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"125","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"126","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"127","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"128","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,2,1,4
"129","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",4,2,1,3
"130","boy",6,12,"Other","Suburban","Brentwood_Middle","Grades",4,1,2,3
"131","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,3,4,2
"132","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"133","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"134","boy",6,12,"Other","Suburban","Brentwood_Middle","Grades",2,1,3,4
"135","boy",6,12,"Other","Suburban","Brentwood_Middle","Popular",4,3,1,2
"136","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"137","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"138","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"139","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,1,4,3
"140","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"141","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"142","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"143","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"144","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"145","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,3,1,4
"146","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"147","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"148","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"149","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"150","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",2,1,4,3
"151","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"152","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"153","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"154","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",2,1,3,4
"155","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,1,3,4
"156","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,3,2
"157","boy",5,11,"White","Suburban","Brentwood_Middle","Popular",3,2,1,4
"158","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"159","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,4,2
"160","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"161","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",2,3,1,4
"162","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"163","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,3,4
"164","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,2,1
"165","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",4,1,2,3
"166","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"167","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"168","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",1,2,3,4
"169","boy",6,13,"White","Suburban","Brentwood_Middle","Sports",1,2,4,3
"170","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",2,1,3,4
"171","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"172","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"173","girl",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"174","girl",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"175","girl",4,9,"White","Rural","Ridge","Popular",1,4,3,2
"176","girl",4,9,"White","Rural","Ridge","Popular",2,4,1,3
"177","girl",4,9,"White","Rural","Ridge","Sports",1,2,3,4
"178","girl",4,9,"White","Rural","Ridge","Popular",3,4,1,2
"179","girl",4,9,"White","Rural","Ridge","Sports",2,3,1,4
"180","girl",4,9,"White","Rural","Ridge","Grades",1,4,2,3
"181","girl",4,9,"White","Rural","Ridge","Sports",3,2,1,4
"182","girl",4,9,"White","Rural","Ridge","Sports",2,1,3,4
"183","girl",4,9,"White","Rural","Ridge","Popular",2,3,1,4
"184","girl",4,9,"White","Rural","Ridge","Popular",4,2,1,3
"185","girl",4,10,"White","Rural","Ridge","Grades",1,2,3,4
"186","boy",4,9,"White","Rural","Ridge","Grades",3,4,2,1
"187","boy",4,10,"White","Rural","Ridge","Grades",2,1,3,4
"188","boy",4,9,"White","Rural","Ridge","Grades",1,2,3,4
"189","boy",4,9,"White","Rural","Ridge","Popular",2,3,1,4
"190","boy",4,10,"White","Rural","Ridge","Sports",4,1,2,3
"191","boy",4,9,"White","Rural","Ridge","Popular",1,2,4,3
"192","boy",4,9,"White","Rural","Ridge","Sports",2,1,4,3
"193","boy",4,9,"White","Rural","Ridge","Popular",4,3,1,2
"194","boy",4,9,"White","Rural","Ridge","Popular",3,4,1,2
"195","boy",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"196","boy",5,10,"White","Rural","Ridge","Grades",1,3,2,4
"197","boy",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"198","boy",5,10,"White","Rural","Ridge","Sports",4,2,1,3
"199","boy",5,11,"White","Rural","Ridge","Sports",2,3,4,1
"200","boy",5,10,"White","Rural","Ridge","Popular",1,4,3,2
"201","boy",5,11,"White","Rural","Ridge","Grades",1,2,4,3
"202","boy",5,11,"White","Rural","Ridge","Popular",3,2,1,4
"203","boy",5,10,"White","Rural","Ridge","Sports",1,2,4,3
"204","boy",5,10,"White","Rural","Ridge","Sports",2,1,3,4
"205","boy",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"206","boy",5,11,"White","Rural","Ridge","Popular",4,1,2,3
"207","boy",5,10,"White","Rural","Ridge","Grades",3,1,2,4
"208","boy",5,10,"White","Rural","Ridge","Popular",4,2,1,3
"209","girl",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"210","girl",5,10,"White","Rural","Ridge","Grades",3,2,1,4
"211","girl",5,10,"White","Rural","Ridge","Popular",2,3,1,4
"212","girl",5,10,"White","Rural","Ridge","Popular",3,2,1,4
"213","girl",5,11,"White","Rural","Ridge","Sports",4,2,1,3
"214","girl",5,10,"White","Rural","Ridge","Grades",1,2,4,3
"215","girl",5,11,"White","Rural","Ridge","Popular",4,2,1,3
"216","girl",5,11,"White","Rural","Ridge","Grades",1,3,4,2
"217","girl",5,10,"White","Rural","Ridge","Popular",4,3,1,2
"218","girl",5,10,"White","Rural","Ridge","Popular",1,2,3,4
"219","girl",5,11,"White","Rural","Ridge","Grades",1,3,2,4
"220","girl",5,10,"White","Rural","Ridge","Grades",1,2,3,4
"221","boy",5,12,"White","Rural","Sand","Sports",2,1,3,4
"222","boy",5,10,"White","Rural","Sand","Popular",4,3,1,2
"223","boy",5,10,"White","Rural","Sand","Popular",2,1,3,4
"224","boy",5,10,"White","Rural","Sand","Sports",4,1,2,3
"225","boy",5,10,"White","Rural","Sand","Sports",2,1,4,3
"226","boy",5,10,"White","Rural","Sand","Sports",3,1,4,2
"227","boy",5,11,"White","Rural","Sand","Grades",4,2,3,1
"228","boy",5,10,"White","Rural","Sand","Grades",2,1,3,4
"229","boy",5,10,"White","Rural","Sand","Grades",1,2,4,3
"230","girl",5,10,"White","Rural","Sand","Popular",2,3,1,4
"231","girl",5,10,"White","Rural","Sand","Popular",3,2,1,4
"232","girl",5,10,"White","Rural","Sand","Popular",1,3,2,4
"233","girl",5,11,"White","Rural","Sand","Grades",2,4,1,3
"234","girl",5,10,"White","Rural","Sand","Grades",1,2,3,4
"235","girl",5,10,"White","Rural","Sand","Grades",2,4,3,1
"236","girl",5,10,"White","Rural","Sand","Popular",3,2,1,4
"237","girl",5,10,"Other","Rural","Sand","Grades",2,4,1,3
"238","boy",4,9,"White","Rural","Sand","Grades",3,1,2,4
"239","boy",4,10,"White","Rural","Sand","Grades",3,1,4,2
"240","boy",4,10,"White","Rural","Sand","Grades",1,3,2,4
"241","girl",4,9,"White","Rural","Sand","Grades",2,1,3,4
"242","girl",4,9,"White","Rural","Sand","Grades",1,3,2,4
"243","girl",4,9,"White","Rural","Sand","Grades",3,4,1,2
"244","girl",4,10,"White","Rural","Sand","Popular",2,1,3,4
"245","girl",4,9,"White","Rural","Sand","Grades",1,3,2,4
"246","girl",4,9,"White","Rural","Sand","Sports",3,2,1,4
"247","girl",4,9,"White","Rural","Sand","Sports",3,2,1,4
"248","girl",4,9,"White","Rural","Sand","Grades",2,1,3,4
"249","girl",6,12,"White","Rural","Brown_Middle","Popular",4,2,1,3
"250","girl",6,11,"White","Rural","Brown_Middle","Popular",3,4,1,2
"251","girl",6,11,"White","Rural","Brown_Middle","Grades",4,2,1,3
"252","girl",6,11,"White","Rural","Brown_Middle","Grades",4,2,1,3
"253","girl",6,11,"White","Rural","Brown_Middle","Grades",1,3,2,4
"254","girl",6,12,"White","Rural","Brown_Middle","Grades",4,3,1,2
"255","girl",6,12,"Other","Rural","Brown_Middle","Grades",3,2,1,4
"256","girl",6,11,"White","Rural","Brown_Middle","Popular",1,2,3,4
"257","girl",6,11,"White","Rural","Brown_Middle","Sports",4,1,3,2
"258","girl",6,12,"White","Rural","Brown_Middle","Grades",4,3,1,2
"259","girl",6,11,"White","Rural","Brown_Middle","Popular",2,1,3,4
"260","girl",6,11,"White","Rural","Brown_Middle","Popular",3,2,1,4
"261","girl",6,11,"Other","Rural","Brown_Middle","Grades",1,3,4,2
"262","girl",6,11,"White","Rural","Brown_Middle","Popular",3,1,2,4
"263","girl",6,11,"White","Rural","Brown_Middle","Popular",1,2,3,4
"264","girl",6,11,"White","Rural","Brown_Middle","Popular",4,2,1,3
"265","girl",6,12,"White","Rural","Brown_Middle","Grades",4,2,1,3
"266","girl",6,11,"White","Rural","Brown_Middle","Grades",2,3,1,4
"267","girl",6,11,"White","Rural","Brown_Middle","Grades",2,3,1,4
"268","girl",6,11,"White","Rural","Brown_Middle","Grades",1,4,2,3
"269","girl",6,11,"White","Rural","Brown_Middle","Popular",4,2,1,3
"270","girl",6,12,"White","Rural","Brown_Middle","Grades",3,1,2,4
"271","girl",6,11,"White","Rural","Brown_Middle","Grades",4,2,1,3
"272","girl",6,12,"White","Rural","Brown_Middle","Sports",2,1,3,4
"273","girl",6,11,"White","Rural","Brown_Middle","Sports",2,4,1,3
"274","girl",6,11,"White","Rural","Brown_Middle","Grades",4,2,1,3
"275","boy",6,12,"White","Rural","Brown_Middle","Sports",4,3,1,2
"276","boy",6,13,"White","Rural","Brown_Middle","Sports",4,1,2,3
"277","boy",6,11,"White","Rural","Brown_Middle","Sports",3,1,2,4
"278","boy",6,11,"White","Rural","Brown_Middle","Sports",4,2,1,3
"279","boy",6,12,"White","Rural","Brown_Middle","Popular",4,2,3,1
"280","boy",6,11,"White","Rural","Brown_Middle","Sports",2,1,3,4
"281","boy",6,12,"White","Rural","Brown_Middle","Sports",3,1,2,4
"282","boy",6,11,"White","Rural","Brown_Middle","Grades",4,1,2,3
"283","boy",6,12,"White","Rural","Brown_Middle","Grades",4,2,1,3
"284","boy",6,11,"White","Rural","Brown_Middle","Sports",4,1,2,3
"285","boy",6,12,"White","Rural","Brown_Middle","Popular",2,3,4,1
"286","boy",6,11,"White","Rural","Brown_Middle","Grades",3,2,1,4
"287","boy",6,11,"White","Rural","Brown_Middle","Grades",2,1,3,4
"288","boy",6,12,"White","Rural","Brown_Middle","Sports",3,1,2,4
"289","boy",6,11,"White","Rural","Brown_Middle","Grades",3,1,4,2
"290","boy",6,11,"White","Rural","Brown_Middle","Grades",4,1,2,3
"291","boy",6,12,"Other","Rural","Brown_Middle","Popular",4,3,2,1
"292","boy",6,12,"White","Rural","Brown_Middle","Sports",3,1,2,4
"293","boy",6,11,"White","Rural","Brown_Middle","Grades",1,2,3,4
"294","boy",6,12,"White","Rural","Brown_Middle","Sports",4,1,2,3
"295","boy",6,11,"White","Rural","Brown_Middle","Popular",4,2,1,3
"296","boy",6,13,"White","Rural","Brown_Middle","Sports",4,2,1,3
"297","boy",6,11,"White","Rural","Brown_Middle","Grades",4,3,1,2
"298","boy",6,11,"White","Rural","Brown_Middle","Sports",3,1,4,2
"299","boy",6,11,"White","Rural","Brown_Middle","Popular",4,2,1,3
"300","boy",6,11,"White","Rural","Brown_Middle","Sports",3,1,4,2
"301","girl",4,9,"Other","Urban","Main","Grades",1,2,3,4
"302","girl",4,9,"White","Urban","Main","Popular",4,3,1,2
"303","girl",4,9,"White","Urban","Main","Grades",1,3,2,4
"304","girl",4,9,"Other","Urban","Main","Sports",4,1,2,3
"305","girl",4,9,"White","Urban","Main","Grades",2,1,3,4
"306","girl",4,9,"Other","Urban","Main","Grades",2,4,1,3
"307","girl",4,10,"White","Urban","Main","Grades",3,2,1,4
"308","girl",4,10,"White","Urban","Main","Grades",3,2,1,4
"309","girl",4,9,"White","Urban","Main","Grades",1,2,3,4
"310","girl",4,9,"White","Urban","Main","Popular",2,1,3,4
"311","girl",4,9,"White","Urban","Main","Sports",1,3,2,4
"312","girl",4,9,"White","Urban","Main","Grades",1,2,3,4
"313","girl",4,9,"White","Urban","Main","Grades",1,2,3,4
"314","girl",4,9,"White","Urban","Main","Grades",4,3,1,2
"315","girl",4,9,"White","Urban","Main","Grades",1,2,4,3
"316","boy",4,9,"White","Urban","Main","Grades",3,1,2,4
"317","boy",4,9,"White","Urban","Main","Popular",1,3,2,4
"318","boy",4,9,"White","Urban","Main","Grades",3,1,4,2
"319","boy",4,9,"White","Urban","Main","Sports",1,2,4,3
"320","boy",4,9,"White","Urban","Main","Grades",3,1,2,4
"321","boy",4,9,"White","Urban","Main","Sports",2,1,4,3
"322","boy",4,9,"White","Urban","Main","Sports",2,3,1,4
"323","boy",4,9,"White","Urban","Main","Grades",2,1,4,3
"324","boy",4,9,"Other","Urban","Main","Grades",4,1,3,2
"325","boy",4,10,"White","Urban","Main","Grades",2,1,4,3
"326","boy",4,9,"White","Urban","Main","Grades",2,1,3,4
"327","girl",5,10,"White","Urban","Main","Grades",4,2,1,3
"328","girl",5,10,"White","Urban","Main","Grades",1,2,3,4
"329","girl",5,11,"White","Urban","Main","Grades",2,1,4,3
"330","girl",5,10,"White","Urban","Main","Grades",4,3,1,2
"331","girl",5,10,"White","Urban","Main","Popular",3,2,1,4
"332","girl",5,10,"Other","Urban","Main","Popular",2,4,1,3
"333","girl",5,11,"White","Urban","Main","Grades",1,2,3,4
"334","girl",5,10,"White","Urban","Main","Grades",1,2,3,4
"335","girl",5,10,"White","Urban","Main","Popular",4,1,2,3
"336","girl",5,11,"White","Urban","Main","Sports",2,1,4,3
"337","girl",5,10,"White","Urban","Main","Grades",1,2,4,3
"338","girl",5,10,"White","Urban","Main","Grades",4,3,2,1
"339","girl",5,10,"White","Urban","Main","Popular",1,4,2,3
"340","girl",5,10,"White","Urban","Main","Grades",4,1,2,3
"341","girl",5,10,"White","Urban","Main","Popular",2,3,1,4
"342","girl",5,10,"White","Urban","Main","Popular",4,3,2,1
"343","girl",5,10,"White","Urban","Main","Popular",2,1,3,4
"344","girl",5,10,"White","Urban","Main","Grades",1,2,4,3
"345","girl",5,10,"White","Urban","Main","Grades",1,3,2,4
"346","girl",5,10,"White","Urban","Main","Grades",2,4,3,1
"347","girl",5,10,"White","Urban","Main","Grades",1,2,3,4
"348","boy",5,10,"White","Urban","Main","Grades",1,2,3,4
"349","boy",5,11,"White","Urban","Main","Sports",3,1,2,4
"350","boy",5,10,"Other","Urban","Main","Grades",2,1,4,3
"351","boy",5,11,"Other","Urban","Main","Grades",1,4,2,3
"352","boy",5,10,"White","Urban","Main","Grades",2,1,4,3
"353","boy",5,10,"White","Urban","Main","Grades",1,2,4,3
"354","boy",5,10,"White","Urban","Main","Grades",2,1,3,4
"355","boy",5,10,"White","Urban","Main","Sports",2,1,3,4
"356","boy",5,11,"White","Urban","Main","Grades",2,1,4,3
"357","boy",5,9,"Other","Urban","Main","Grades",2,1,3,4
"358","boy",5,10,"White","Urban","Main","Grades",3,4,2,1
"359","boy",5,10,"Other","Urban","Main","Grades",1,2,3,4
"360","boy",5,10,"White","Urban","Main","Grades",2,1,3,4
"361","boy",5,10,"White","Urban","Main","Sports",2,1,4,3
"362","boy",5,11,"White","Urban","Main","Popular",3,1,2,4
"363","boy",5,11,"White","Urban","Main","Grades",1,2,3,4
"364","boy",5,11,"White","Urban","Main","Popular",3,1,2,4
"365","boy",5,9,"Other","Urban","Main","Grades",3,1,4,2
"366","boy",5,11,"White","Urban","Main","Sports",2,1,3,4
"367","boy",5,10,"White","Urban","Main","Sports",2,1,3,4
"368","girl",5,10,"White","Urban","Main","Grades",3,2,1,4
"369","girl",4,9,"White","Urban","Portage","Sports",4,3,1,2
"370","boy",4,9,"White","Urban","Portage","Sports",3,2,1,4
"371","boy",4,9,"Other","Urban","Portage","Grades",4,3,1,2
"372","boy",4,9,"White","Urban","Portage","Grades",1,2,3,4
"373","girl",4,9,"White","Urban","Portage","Grades",1,2,3,4
"374","girl",4,10,"White","Urban","Portage","Grades",3,1,2,4
"375","girl",4,9,"White","Urban","Portage","Grades",1,3,2,4
"376","girl",4,9,"Other","Urban","Portage","Popular",2,3,1,4
"377","boy",4,9,"White","Urban","Portage","Popular",4,1,2,3
"378","boy",4,9,"White","Urban","Portage","Popular",3,1,2,4
"379","boy",4,9,"White","Urban","Portage","Grades",1,3,2,4
