ahe,bachelor,female,age
28.85,1.00,0.00,29.00
16.15,0.00,0.00,33.00
30.29,1.00,1.00,29.00
15.63,1.00,0.00,33.00
39.22,1.00,1.00,34.00
20.19,0.00,1.00,34.00
10.45,0.00,0.00,27.00
29.91,1.00,0.00,28.00
30.45,0.00,0.00,34.00
15.38,0.00,0.00,33.00
21.63,0.00,0.00,30.00
17.12,0.00,0.00,33.00
15.38,0.00,1.00,30.00
11.13,0.00,1.00,25.00
7.69,0.00,0.00,34.00
22.12,1.00,1.00,33.00
29.91,1.00,0.00,29.00
13.99,1.00,0.00,32.00
2.88,1.00,0.00,25.00
25.51,0.00,0.00,31.00
12.98,1.00,1.00,28.00
15.61,1.00,0.00,28.00
19.23,1.00,1.00,27.00
17.79,1.00,1.00,26.00
20.19,1.00,0.00,27.00
12.82,0.00,0.00,33.00
14.90,0.00,1.00,34.00
22.44,1.00,1.00,27.00
30.77,1.00,0.00,33.00
45.53,1.00,0.00,33.00
25.48,1.00,1.00,32.00
30.00,1.00,0.00,27.00
28.46,1.00,1.00,28.00
8.33,0.00,1.00,27.00
21.51,1.00,0.00,33.00
10.10,1.00,1.00,33.00
12.02,0.00,1.00,26.00
12.98,1.00,0.00,31.00
14.42,1.00,1.00,28.00
11.06,1.00,1.00,31.00
12.82,1.00,1.00,34.00
14.96,1.00,1.00,34.00
20.94,1.00,0.00,33.00
13.46,1.00,1.00,31.00
15.00,0.00,0.00,26.00
40.38,1.00,0.00,31.00
12.98,1.00,1.00,25.00
33.65,1.00,0.00,33.00
19.23,1.00,1.00,30.00
9.62,0.00,1.00,28.00
14.13,0.00,0.00,28.00
9.62,0.00,0.00,33.00
19.23,1.00,0.00,32.00
13.85,0.00,0.00,32.00
11.06,1.00,1.00,31.00
15.53,0.00,0.00,32.00
12.31,0.00,0.00,31.00
11.58,0.00,1.00,34.00
20.19,1.00,0.00,34.00
16.18,1.00,1.00,33.00
17.21,1.00,1.00,28.00
18.27,0.00,1.00,31.00
16.83,0.00,0.00,25.00
11.54,1.00,1.00,29.00
7.69,0.00,0.00,28.00
31.25,0.00,0.00,30.00
26.30,1.00,1.00,34.00
13.10,0.00,1.00,28.00
25.64,1.00,0.00,28.00
22.31,1.00,1.00,30.00
10.10,0.00,1.00,33.00
15.38,0.00,0.00,27.00
19.67,1.00,1.00,30.00
12.02,1.00,1.00,26.00
21.79,1.00,0.00,25.00
17.50,1.00,1.00,32.00
15.38,1.00,0.00,32.00
29.33,1.00,1.00,32.00
17.79,1.00,0.00,32.00
40.31,1.00,0.00,33.00
21.15,1.00,1.00,28.00
12.82,1.00,0.00,31.00
25.00,1.00,1.00,30.00
28.00,1.00,1.00,30.00
32.69,1.00,1.00,29.00
7.60,0.00,1.00,34.00
14.01,0.00,0.00,30.00
25.00,1.00,0.00,31.00
14.42,1.00,0.00,27.00
9.13,0.00,0.00,28.00
10.99,0.00,0.00,30.00
14.96,1.00,0.00,29.00
12.02,0.00,1.00,27.00
27.88,1.00,0.00,29.00
11.54,0.00,0.00,33.00
31.25,1.00,0.00,32.00
2.14,0.00,0.00,30.00
19.23,1.00,1.00,33.00
14.42,1.00,1.00,28.00
14.42,1.00,0.00,31.00
17.08,1.00,1.00,29.00
22.12,1.00,0.00,30.00
17.95,1.00,0.00,30.00
19.23,1.00,1.00,28.00
13.66,1.00,1.00,25.00
19.66,1.00,1.00,34.00
15.38,1.00,1.00,27.00
7.48,1.00,1.00,33.00
20.09,1.00,0.00,27.00
10.00,0.00,1.00,26.00
13.27,1.00,0.00,26.00
11.06,0.00,0.00,30.00
39.26,1.00,0.00,30.00
28.85,1.00,0.00,32.00
14.42,0.00,0.00,29.00
15.87,0.00,1.00,33.00
10.58,0.00,1.00,25.00
10.77,1.00,1.00,33.00
16.83,0.00,1.00,29.00
33.65,1.00,1.00,34.00
17.03,1.00,1.00,26.00
9.62,1.00,1.00,32.00
13.46,0.00,1.00,31.00
17.31,0.00,0.00,32.00
27.40,1.00,1.00,34.00
11.09,0.00,1.00,32.00
18.27,0.00,0.00,33.00
17.79,1.00,0.00,31.00
19.23,0.00,0.00,30.00
16.20,1.00,1.00,29.00
19.23,1.00,0.00,27.00
18.27,1.00,1.00,26.00
19.23,1.00,0.00,34.00
15.00,0.00,0.00,31.00
24.62,1.00,0.00,28.00
27.47,0.00,0.00,34.00
16.62,1.00,1.00,27.00
46.15,1.00,1.00,33.00
19.23,0.00,0.00,31.00
17.79,0.00,1.00,31.00
13.94,1.00,1.00,26.00
10.26,1.00,1.00,26.00
7.96,0.00,0.00,33.00
6.98,0.00,0.00,30.00
4.81,0.00,0.00,28.00
12.50,0.00,0.00,29.00
6.25,0.00,1.00,30.00
12.98,0.00,1.00,30.00
10.34,1.00,0.00,27.00
31.25,1.00,1.00,27.00
13.25,1.00,1.00,25.00
10.00,1.00,0.00,25.00
10.99,0.00,0.00,25.00
29.40,1.00,0.00,30.00
17.95,1.00,1.00,26.00
17.07,0.00,0.00,31.00
21.98,0.00,1.00,31.00
33.65,1.00,0.00,32.00
7.69,1.00,1.00,25.00
14.51,1.00,0.00,32.00
19.23,1.00,1.00,26.00
7.69,0.00,0.00,34.00
25.00,1.00,0.00,30.00
35.58,1.00,0.00,28.00
16.83,1.00,1.00,25.00
12.98,0.00,0.00,25.00
16.83,0.00,0.00,25.00
17.09,0.00,0.00,25.00
12.50,1.00,1.00,31.00
19.95,1.00,0.00,30.00
16.83,0.00,1.00,31.00
15.87,0.00,0.00,32.00
15.87,0.00,1.00,27.00
13.02,0.00,0.00,29.00
23.40,0.00,0.00,28.00
15.00,1.00,0.00,26.00
6.88,0.00,0.00,29.00
9.62,0.00,0.00,28.00
8.65,0.00,0.00,30.00
9.62,0.00,0.00,28.00
21.37,1.00,1.00,28.00
9.95,1.00,0.00,29.00
6.25,0.00,1.00,28.00
17.16,0.00,0.00,27.00
40.38,1.00,0.00,31.00
12.02,0.00,0.00,29.00
30.34,1.00,0.00,27.00
16.35,1.00,1.00,26.00
15.87,1.00,0.00,27.00
19.23,1.00,1.00,33.00
17.32,1.00,0.00,30.00
11.54,1.00,0.00,32.00
10.47,1.00,1.00,30.00
20.67,1.00,0.00,33.00
11.22,1.00,0.00,32.00
16.35,1.00,1.00,25.00
18.27,1.00,0.00,25.00
19.23,0.00,0.00,33.00
28.67,1.00,1.00,29.00
17.71,1.00,0.00,28.00
19.23,0.00,0.00,31.00
22.29,1.00,1.00,25.00
12.02,0.00,0.00,28.00
48.08,1.00,1.00,34.00
25.48,1.00,1.00,33.00
8.65,0.00,1.00,33.00
12.02,0.00,1.00,32.00
7.21,0.00,1.00,31.00
24.27,1.00,0.00,30.00
12.82,1.00,1.00,26.00
5.06,0.00,0.00,28.00
11.97,0.00,0.00,27.00
20.77,1.00,1.00,26.00
30.77,1.00,1.00,28.00
26.44,0.00,0.00,32.00
17.48,0.00,0.00,27.00
6.29,1.00,1.00,25.00
18.16,1.00,0.00,27.00
3.89,0.00,0.00,29.00
31.25,0.00,0.00,25.00
21.15,1.00,1.00,29.00
17.79,0.00,1.00,34.00
21.63,1.00,0.00,25.00
16.67,0.00,1.00,34.00
12.50,0.00,1.00,27.00
6.25,0.00,1.00,26.00
12.02,0.00,0.00,33.00
33.09,1.00,0.00,34.00
12.02,1.00,1.00,33.00
12.50,0.00,0.00,26.00
11.54,0.00,1.00,31.00
24.04,0.00,0.00,32.00
6.62,1.00,0.00,34.00
22.44,1.00,0.00,26.00
5.87,1.00,1.00,25.00
18.70,1.00,1.00,26.00
17.31,1.00,0.00,27.00
17.48,1.00,1.00,27.00
12.02,0.00,0.00,33.00
12.02,0.00,1.00,33.00
17.31,0.00,0.00,26.00
10.82,0.00,0.00,25.00
8.65,0.00,0.00,33.00
12.02,0.00,1.00,27.00
21.63,1.00,0.00,27.00
10.99,0.00,0.00,30.00
14.42,1.00,1.00,26.00
8.97,1.00,0.00,30.00
16.83,0.00,0.00,29.00
4.81,0.00,1.00,33.00
9.06,0.00,1.00,25.00
21.63,1.00,0.00,31.00
7.93,0.00,1.00,29.00
6.73,0.00,1.00,32.00
20.76,1.00,0.00,30.00
21.37,1.00,0.00,27.00
15.00,0.00,0.00,31.00
4.90,0.00,1.00,31.00
7.21,0.00,0.00,31.00
36.54,1.00,0.00,26.00
24.18,1.00,1.00,26.00
12.02,1.00,1.00,32.00
11.44,1.00,0.00,33.00
11.54,0.00,0.00,31.00
6.25,0.00,1.00,27.00
8.14,0.00,0.00,30.00
9.62,0.00,0.00,30.00
6.92,0.00,1.00,31.00
2.40,0.00,0.00,33.00
10.44,0.00,0.00,32.00
21.37,0.00,0.00,28.00
13.46,0.00,0.00,29.00
60.10,1.00,0.00,31.00
18.27,1.00,1.00,32.00
9.13,0.00,0.00,30.00
60.10,0.00,0.00,31.00
4.13,0.00,1.00,34.00
9.00,0.00,1.00,31.00
16.83,0.00,0.00,31.00
16.83,1.00,1.00,28.00
9.14,0.00,0.00,33.00
18.14,1.00,0.00,28.00
23.04,1.00,1.00,25.00
10.18,1.00,1.00,32.00
10.93,1.00,0.00,32.00
15.87,0.00,1.00,25.00
7.93,0.00,1.00,33.00
12.02,0.00,0.00,34.00
15.58,1.00,0.00,26.00
22.36,1.00,1.00,25.00
13.08,1.00,1.00,28.00
8.76,0.00,0.00,33.00
48.08,1.00,0.00,34.00
18.75,1.00,1.00,29.00
20.94,0.00,0.00,27.00
28.85,1.00,0.00,33.00
6.92,0.00,1.00,27.00
26.92,1.00,0.00,26.00
21.23,0.00,0.00,32.00
11.54,1.00,0.00,29.00
21.13,1.00,0.00,29.00
13.46,0.00,0.00,27.00
10.18,0.00,1.00,32.00
16.83,0.00,0.00,25.00
6.25,0.00,1.00,25.00
10.58,1.00,0.00,27.00
17.31,1.00,1.00,25.00
18.27,0.00,1.00,25.00
34.19,1.00,0.00,28.00
18.38,1.00,0.00,31.00
10.42,0.00,0.00,33.00
27.40,1.00,0.00,29.00
33.65,1.00,0.00,31.00
8.60,1.00,1.00,29.00
7.81,1.00,0.00,26.00
12.02,1.00,1.00,25.00
12.02,0.00,0.00,28.00
26.92,1.00,0.00,28.00
33.65,0.00,0.00,32.00
19.71,1.00,0.00,25.00
15.38,1.00,0.00,29.00
14.90,1.00,1.00,29.00
4.62,0.00,1.00,27.00
5.33,0.00,0.00,33.00
8.24,0.00,0.00,34.00
6.04,0.00,1.00,32.00
15.38,0.00,0.00,28.00
12.35,1.00,0.00,33.00
10.93,1.00,1.00,34.00
10.25,0.00,1.00,29.00
25.48,0.00,0.00,34.00
9.09,1.00,1.00,28.00
29.17,1.00,0.00,34.00
14.42,1.00,1.00,33.00
12.02,0.00,0.00,27.00
16.94,1.00,0.00,25.00
18.75,1.00,1.00,26.00
26.56,1.00,1.00,29.00
17.93,0.00,0.00,32.00
12.12,0.00,0.00,25.00
48.08,1.00,0.00,29.00
48.08,1.00,1.00,33.00
13.25,0.00,0.00,31.00
20.19,1.00,1.00,29.00
12.97,0.00,0.00,29.00
25.00,1.00,1.00,25.00
18.85,1.00,0.00,25.00
31.25,0.00,0.00,26.00
14.42,1.00,1.00,27.00
25.11,1.00,0.00,27.00
18.38,0.00,0.00,32.00
28.85,1.00,0.00,32.00
10.00,0.00,0.00,29.00
13.66,1.00,1.00,33.00
14.42,0.00,0.00,32.00
27.47,1.00,0.00,32.00
18.46,0.00,0.00,34.00
13.25,1.00,1.00,27.00
20.51,1.00,1.00,27.00
10.06,1.00,0.00,30.00
12.82,1.00,1.00,29.00
15.14,0.00,0.00,27.00
12.50,1.00,1.00,27.00
14.71,1.00,1.00,27.00
19.23,0.00,0.00,26.00
14.42,1.00,1.00,33.00
20.19,1.00,0.00,30.00
8.65,0.00,1.00,33.00
5.49,0.00,0.00,32.00
11.54,0.00,1.00,25.00
16.15,1.00,1.00,32.00
9.23,0.00,1.00,26.00
7.21,1.00,1.00,32.00
8.19,0.00,0.00,29.00
17.89,1.00,1.00,34.00
26.50,1.00,0.00,27.00
19.23,1.00,1.00,26.00
11.86,0.00,0.00,28.00
14.04,0.00,0.00,29.00
21.05,1.00,1.00,29.00
9.01,0.00,1.00,25.00
10.26,0.00,0.00,29.00
19.23,1.00,0.00,31.00
19.43,1.00,1.00,30.00
16.83,1.00,1.00,34.00
36.06,1.00,1.00,27.00
31.25,0.00,0.00,34.00
48.08,0.00,0.00,32.00
10.58,0.00,1.00,32.00
15.98,0.00,0.00,29.00
4.26,0.00,1.00,27.00
10.04,0.00,0.00,29.00
9.62,1.00,0.00,25.00
16.83,0.00,1.00,26.00
3.37,0.00,0.00,28.00
19.23,1.00,0.00,26.00
7.69,0.00,0.00,34.00
16.35,0.00,1.00,29.00
19.23,1.00,0.00,33.00
15.38,0.00,1.00,26.00
23.67,1.00,0.00,25.00
11.73,1.00,0.00,29.00
21.63,0.00,1.00,31.00
13.94,1.00,1.00,26.00
8.85,0.00,0.00,27.00
9.62,0.00,0.00,30.00
6.46,0.00,1.00,32.00
5.60,0.00,0.00,33.00
23.08,0.00,1.00,33.00
13.46,1.00,1.00,33.00
20.67,1.00,0.00,28.00
9.62,0.00,0.00,28.00
7.50,0.00,1.00,26.00
20.67,0.00,0.00,30.00
9.62,0.00,0.00,27.00
5.77,0.00,0.00,26.00
14.42,0.00,0.00,27.00
11.54,1.00,0.00,29.00
16.15,0.00,0.00,34.00
14.42,0.00,0.00,26.00
16.83,0.00,0.00,29.00
14.42,1.00,1.00,26.00
30.09,1.00,1.00,28.00
15.87,0.00,0.00,25.00
15.27,0.00,0.00,30.00
5.77,0.00,0.00,32.00
15.38,0.00,0.00,31.00
18.38,1.00,0.00,31.00
17.19,0.00,0.00,29.00
6.83,0.00,0.00,34.00
19.23,1.00,0.00,32.00
28.85,1.00,1.00,29.00
13.94,1.00,1.00,25.00
15.77,0.00,0.00,31.00
12.00,0.00,0.00,33.00
10.58,1.00,0.00,26.00
20.13,0.00,0.00,34.00
9.62,1.00,1.00,25.00
12.24,0.00,0.00,25.00
12.50,0.00,1.00,29.00
10.77,0.00,0.00,28.00
16.15,1.00,0.00,32.00
12.74,1.00,1.00,28.00
14.00,0.00,0.00,32.00
5.45,0.00,0.00,25.00
11.54,0.00,0.00,25.00
8.17,0.00,0.00,34.00
13.46,0.00,0.00,32.00
9.62,0.00,0.00,30.00
9.56,1.00,1.00,29.00
24.04,1.00,0.00,27.00
10.99,1.00,1.00,28.00
29.35,1.00,0.00,33.00
10.58,0.00,1.00,31.00
8.50,0.00,1.00,27.00
12.50,1.00,0.00,27.00
19.23,0.00,1.00,25.00
13.46,0.00,0.00,33.00
10.26,0.00,0.00,28.00
7.21,0.00,1.00,27.00
5.29,0.00,1.00,32.00
6.73,0.00,0.00,30.00
16.83,1.00,0.00,26.00
12.74,1.00,0.00,25.00
12.02,0.00,1.00,30.00
10.99,0.00,0.00,30.00
14.90,0.00,1.00,29.00
12.02,0.00,1.00,25.00
50.48,0.00,1.00,34.00
21.15,0.00,0.00,33.00
20.19,1.00,0.00,25.00
13.94,0.00,1.00,29.00
10.37,1.00,1.00,31.00
12.02,0.00,1.00,27.00
26.28,0.00,0.00,27.00
21.63,1.00,1.00,27.00
26.50,1.00,0.00,32.00
21.15,0.00,0.00,32.00
20.33,1.00,0.00,33.00
9.62,0.00,0.00,29.00
27.78,1.00,0.00,28.00
21.63,0.00,1.00,34.00
7.69,0.00,0.00,29.00
9.99,0.00,1.00,34.00
19.23,0.00,0.00,33.00
12.50,0.00,0.00,27.00
9.00,0.00,0.00,31.00
14.42,1.00,1.00,26.00
11.92,1.00,1.00,27.00
19.23,0.00,0.00,25.00
27.47,0.00,0.00,33.00
23.50,1.00,1.00,27.00
14.42,1.00,0.00,34.00
36.06,1.00,1.00,31.00
16.35,0.00,0.00,32.00
14.42,0.00,0.00,33.00
21.15,1.00,0.00,31.00
14.42,0.00,1.00,27.00
11.89,1.00,0.00,34.00
24.18,1.00,1.00,31.00
22.73,1.00,1.00,33.00
4.81,0.00,1.00,33.00
20.19,1.00,0.00,28.00
7.21,0.00,0.00,34.00
4.33,0.00,0.00,31.00
25.00,0.00,0.00,33.00
19.23,0.00,0.00,28.00
8.17,0.00,0.00,25.00
36.06,1.00,0.00,33.00
6.25,0.00,1.00,26.00
6.56,0.00,0.00,30.00
15.38,0.00,0.00,33.00
15.90,0.00,0.00,33.00
27.47,0.00,0.00,28.00
16.35,0.00,0.00,33.00
13.75,0.00,0.00,27.00
9.62,0.00,0.00,28.00
18.27,0.00,0.00,33.00
18.43,0.00,0.00,27.00
21.00,0.00,0.00,34.00
15.38,1.00,0.00,28.00
9.51,0.00,1.00,31.00
8.75,0.00,1.00,34.00
14.42,1.00,1.00,30.00
19.23,0.00,0.00,25.00
18.75,1.00,1.00,27.00
19.23,1.00,1.00,34.00
13.07,0.00,0.00,25.00
15.73,0.00,0.00,29.00
11.00,1.00,0.00,27.00
40.38,1.00,0.00,26.00
14.42,1.00,1.00,33.00
10.67,0.00,1.00,34.00
8.19,1.00,0.00,30.00
18.27,1.00,1.00,34.00
11.54,0.00,0.00,33.00
14.42,0.00,0.00,26.00
14.82,0.00,0.00,32.00
11.43,0.00,0.00,25.00
4.33,0.00,1.00,28.00
28.08,1.00,0.00,31.00
14.42,1.00,0.00,25.00
18.80,1.00,0.00,27.00
9.62,0.00,0.00,27.00
8.65,0.00,0.00,29.00
10.00,0.00,0.00,31.00
18.59,0.00,0.00,34.00
12.50,0.00,0.00,32.00
16.83,0.00,0.00,26.00
7.61,0.00,1.00,26.00
14.02,0.00,0.00,25.00
5.77,0.00,1.00,27.00
47.01,1.00,0.00,34.00
11.09,0.00,0.00,34.00
10.99,0.00,1.00,30.00
15.00,0.00,0.00,28.00
22.53,0.00,1.00,34.00
15.38,1.00,0.00,27.00
33.65,1.00,1.00,27.00
18.00,1.00,0.00,29.00
13.46,0.00,0.00,31.00
20.67,1.00,1.00,33.00
23.40,1.00,0.00,34.00
30.00,1.00,0.00,34.00
22.68,1.00,1.00,32.00
18.27,0.00,1.00,27.00
20.00,1.00,0.00,30.00
22.60,1.00,0.00,28.00
23.80,1.00,0.00,32.00
21.15,1.00,1.00,28.00
43.27,1.00,0.00,30.00
19.23,1.00,1.00,30.00
14.88,1.00,1.00,25.00
5.31,1.00,1.00,25.00
15.87,0.00,1.00,32.00
42.74,0.00,0.00,28.00
13.85,1.00,0.00,32.00
14.96,0.00,1.00,30.00
6.99,0.00,0.00,26.00
28.85,0.00,1.00,32.00
15.38,0.00,0.00,30.00
19.23,1.00,1.00,25.00
15.00,1.00,1.00,33.00
18.75,1.00,0.00,32.00
10.10,0.00,1.00,33.00
14.42,1.00,0.00,29.00
4.81,0.00,0.00,27.00
18.54,0.00,1.00,33.00
15.38,0.00,1.00,34.00
28.85,0.00,0.00,32.00
12.02,0.00,0.00,27.00
28.85,1.00,0.00,31.00
27.40,1.00,1.00,31.00
7.00,0.00,0.00,32.00
16.35,0.00,1.00,27.00
8.17,0.00,1.00,33.00
17.45,1.00,1.00,28.00
5.77,1.00,1.00,28.00
17.31,1.00,0.00,28.00
19.23,1.00,1.00,26.00
15.38,0.00,1.00,31.00
11.79,1.00,0.00,27.00
9.62,0.00,1.00,27.00
4.13,1.00,0.00,34.00
44.07,1.00,1.00,28.00
20.88,0.00,0.00,34.00
12.02,0.00,0.00,28.00
25.00,0.00,1.00,27.00
7.40,0.00,0.00,26.00
14.42,1.00,1.00,34.00
25.32,1.00,0.00,29.00
10.38,1.00,1.00,28.00
13.94,0.00,1.00,33.00
31.25,1.00,1.00,33.00
26.44,1.00,0.00,32.00
17.09,1.00,0.00,27.00
22.12,1.00,1.00,26.00
19.23,1.00,1.00,27.00
14.42,1.00,0.00,34.00
6.01,0.00,1.00,29.00
9.13,0.00,0.00,29.00
21.63,0.00,0.00,25.00
25.08,1.00,0.00,34.00
12.98,1.00,0.00,27.00
15.02,1.00,1.00,25.00
19.23,1.00,0.00,32.00
20.00,1.00,1.00,33.00
45.67,1.00,1.00,29.00
10.45,0.00,0.00,34.00
9.77,0.00,0.00,26.00
25.96,1.00,1.00,34.00
15.38,1.00,1.00,34.00
20.51,1.00,1.00,32.00
21.43,0.00,0.00,32.00
15.38,0.00,0.00,27.00
40.87,1.00,0.00,34.00
21.98,1.00,1.00,29.00
19.23,0.00,0.00,32.00
19.23,1.00,1.00,32.00
16.27,1.00,1.00,33.00
40.21,1.00,0.00,33.00
45.52,1.00,1.00,31.00
21.85,1.00,0.00,34.00
12.02,0.00,0.00,30.00
10.58,0.00,1.00,26.00
13.46,1.00,1.00,30.00
